Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
pencarian_positive,Chrome 121.0.0.0,,,12-02-2024 15:11:13,12-02-2024 15:18:12,6m - 59.064s,PASSED
,,,,,,,
Test Cases/positive/pencarian/pencarian_produk_tepat,Chrome 121.0.0.0,,,12-02-2024 15:11:14,12-02-2024 15:12:09,54.932s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 15:11:15,12-02-2024 15:11:20,4.303s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 15:11:20,12-02-2024 15:11:20,0.215s,PASSED
navigateToUrl(url),Chrome 121.0.0.0,,,12-02-2024 15:11:20,12-02-2024 15:11:24,3.915s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 15:11:24,12-02-2024 15:11:28,4.493s,PASSED
"setText(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), ""hp pavilion 15z touch laptop"")",Chrome 121.0.0.0,,,12-02-2024 15:11:28,12-02-2024 15:11:30,1.636s,PASSED
"sendKeys(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 15:11:30,12-02-2024 15:12:00,30.436s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/li_SOLD OUT                                _5c76cc""))",Chrome 121.0.0.0,,,12-02-2024 15:12:00,12-02-2024 15:12:05,5.031s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 15:12:05,12-02-2024 15:12:06,0.959s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 15:12:06,12-02-2024 15:12:07,0.257s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 15:12:09,12-02-2024 15:12:09,0.002s,PASSED
,,,,,,,
Test Cases/positive/pencarian/pencarian_produk_tidak tepat,Chrome 121.0.0.0,,,12-02-2024 15:12:09,12-02-2024 15:12:40,30.760s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 15:12:09,12-02-2024 15:12:11,2.284s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 15:12:11,12-02-2024 15:12:12,0.341s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 15:12:12,12-02-2024 15:12:15,3.013s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input kurang/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 15:12:15,12-02-2024 15:12:19,4.236s,PASSED
"setText(findTestObject(""Object Repository/positive/pencarian/input kurang/input_Sign out_autoComplete""), ""hp pavilion"")",Chrome 121.0.0.0,,,12-02-2024 15:12:19,12-02-2024 15:12:20,1.226s,PASSED
"sendKeys(findTestObject(""Object Repository/positive/pencarian/input kurang/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 15:12:20,12-02-2024 15:12:34,13.592s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input kurang/img""))",Chrome 121.0.0.0,,,12-02-2024 15:12:34,12-02-2024 15:12:35,1.171s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input kurang/li_SOLD OUT                                _b72a2b""))",Chrome 121.0.0.0,,,12-02-2024 15:12:35,12-02-2024 15:12:36,0.892s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input kurang/button_ADD TO CART""))",Chrome 121.0.0.0,,,12-02-2024 15:12:36,12-02-2024 15:12:37,1.155s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 15:12:37,12-02-2024 15:12:37,0.466s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 15:12:40,12-02-2024 15:12:40,0.002s,PASSED
,,,,,,,
Test Cases/positive/pencarian/data produk,Chrome 121.0.0.0,,,12-02-2024 15:12:40,12-02-2024 15:13:50,1m - 10.273s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 15:12:40,12-02-2024 15:12:42,2.233s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 15:12:42,12-02-2024 15:12:42,0.192s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 15:12:42,12-02-2024 15:12:46,3.567s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 15:12:46,12-02-2024 15:12:50,4.290s,PASSED
"setText(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), namaProduk)",Chrome 121.0.0.0,,,12-02-2024 15:12:50,12-02-2024 15:12:52,1.510s,PASSED
delay(5),Chrome 121.0.0.0,,,12-02-2024 15:12:52,12-02-2024 15:12:57,5.095s,PASSED
"sendKeys(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 15:12:57,12-02-2024 15:13:27,30.408s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/data driven/card_result""), 5)",Chrome 121.0.0.0,,,12-02-2024 15:13:27,12-02-2024 15:13:47,19.753s,PASSED
"click(findTestObject(""Object Repository/data driven/card_result""))",Chrome 121.0.0.0,,,12-02-2024 15:13:47,12-02-2024 15:13:47,0.426s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 15:13:47,12-02-2024 15:13:48,0.295s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 15:13:50,12-02-2024 15:13:50,0.002s,PASSED
,,,,,,,
Test Cases/positive/pencarian/data produk,Chrome 121.0.0.0,,,12-02-2024 15:13:50,12-02-2024 15:15:31,1m - 40.689s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 15:13:50,12-02-2024 15:13:52,1.603s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 15:13:52,12-02-2024 15:13:52,0.224s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 15:13:52,12-02-2024 15:13:55,3.334s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 15:13:55,12-02-2024 15:13:59,4.299s,PASSED
"setText(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), namaProduk)",Chrome 121.0.0.0,,,12-02-2024 15:13:59,12-02-2024 15:14:01,1.748s,PASSED
delay(5),Chrome 121.0.0.0,,,12-02-2024 15:14:01,12-02-2024 15:14:06,5.021s,PASSED
"sendKeys(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 15:14:06,12-02-2024 15:14:37,30.326s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/data driven/card_result""), 5)",Chrome 121.0.0.0,,,12-02-2024 15:14:37,12-02-2024 15:15:07,30.188s,PASSED
"click(findTestObject(""Object Repository/data driven/card_result""))",Chrome 121.0.0.0,,,12-02-2024 15:15:07,12-02-2024 15:15:28,21.436s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 15:15:28,12-02-2024 15:15:29,0.330s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 15:15:31,12-02-2024 15:15:31,0.002s,PASSED
,,,,,,,
Test Cases/positive/pencarian/data produk,Chrome 121.0.0.0,,,12-02-2024 15:15:31,12-02-2024 15:16:51,1m - 20.436s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 15:15:31,12-02-2024 15:15:32,1.214s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 15:15:32,12-02-2024 15:15:32,0.151s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 15:15:32,12-02-2024 15:15:35,3.197s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 15:15:35,12-02-2024 15:15:41,6.146s,PASSED
"setText(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), namaProduk)",Chrome 121.0.0.0,,,12-02-2024 15:15:41,12-02-2024 15:15:43,1.312s,PASSED
delay(5),Chrome 121.0.0.0,,,12-02-2024 15:15:43,12-02-2024 15:15:48,5.008s,PASSED
"sendKeys(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 15:15:48,12-02-2024 15:16:18,30.355s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/data driven/card_result""), 5)",Chrome 121.0.0.0,,,12-02-2024 15:16:18,12-02-2024 15:16:48,29.947s,PASSED
"click(findTestObject(""Object Repository/data driven/card_result""))",Chrome 121.0.0.0,,,12-02-2024 15:16:48,12-02-2024 15:16:49,0.616s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 15:16:49,12-02-2024 15:16:49,0.298s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 15:16:51,12-02-2024 15:16:51,0.001s,PASSED
,,,,,,,
Test Cases/positive/pencarian/data produk,Chrome 121.0.0.0,,,12-02-2024 15:16:51,12-02-2024 15:17:59,1m - 7.576s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 15:16:51,12-02-2024 15:16:52,1.190s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 15:16:52,12-02-2024 15:16:53,0.167s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/"")",Chrome 121.0.0.0,,,12-02-2024 15:16:53,12-02-2024 15:16:56,3.661s,PASSED
"click(findTestObject(""Object Repository/positive/pencarian/input valid/svg_Sign out_menuSearch""))",Chrome 121.0.0.0,,,12-02-2024 15:16:56,12-02-2024 15:17:01,4.236s,PASSED
"setText(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), namaProduk)",Chrome 121.0.0.0,,,12-02-2024 15:17:01,12-02-2024 15:17:02,1.268s,PASSED
delay(5),Chrome 121.0.0.0,,,12-02-2024 15:17:02,12-02-2024 15:17:07,5.017s,PASSED
"sendKeys(findTestObject(""Object Repository/positive/pencarian/input valid/input_Sign out_autoComplete""), Keys.chord(ENTER))",Chrome 121.0.0.0,,,12-02-2024 15:17:07,12-02-2024 15:17:37,30.258s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/data driven/card_result""), 5)",Chrome 121.0.0.0,,,12-02-2024 15:17:37,12-02-2024 15:17:56,18.797s,PASSED
"click(findTestObject(""Object Repository/data driven/card_result""))",Chrome 121.0.0.0,,,12-02-2024 15:17:56,12-02-2024 15:17:56,0.520s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 15:17:56,12-02-2024 15:17:57,0.249s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 15:17:59,12-02-2024 15:17:59,0.001s,PASSED
,,,,,,,
Test Cases/positive/filtering/filtering_switch_case,Chrome 121.0.0.0,,,12-02-2024 15:17:59,12-02-2024 15:18:12,13.564s,PASSED
"openBrowser("""")",Chrome 121.0.0.0,,,12-02-2024 15:17:59,12-02-2024 15:18:00,1.148s,PASSED
maximizeWindow(),Chrome 121.0.0.0,,,12-02-2024 15:18:00,12-02-2024 15:18:00,0.175s,PASSED
"navigateToUrl(""https://advantageonlineshopping.com/#/search/"")",Chrome 121.0.0.0,,,12-02-2024 15:18:00,12-02-2024 15:18:04,3.921s,PASSED
"kategori = ""LAPTOPS""",Chrome 121.0.0.0,,,12-02-2024 15:18:04,12-02-2024 15:18:04,0.004s,PASSED
switch (kategori),Chrome 121.0.0.0,,,12-02-2024 15:18:04,12-02-2024 15:18:07,2.887s,PASSED
"waitForElementVisible(findTestObject(""Object Repository/data driven/h1_laptop_name""), 10)",Chrome 121.0.0.0,,,12-02-2024 15:18:07,12-02-2024 15:18:10,2.856s,PASSED
closeBrowser(),Chrome 121.0.0.0,,,12-02-2024 15:18:10,12-02-2024 15:18:10,0.182s,PASSED
Video,Chrome 121.0.0.0,,,12-02-2024 15:18:12,12-02-2024 15:18:12,0.003s,PASSED
